id,name,auther,repo_name,address,like,estimated_testcodes,packages,all_javas,product_codes,test_codes,product_codes_with_Test,test_codes_without_Test,test_codes_witout_Test_but_test,suspect_test_codes,real_product_codes,real_test_codes,real_test_option_codes,not_availables,used_product_codes,used_test_codes,extends_testcodes,extended_testcodes,used junit,used testng,used extends,no open,no decode,no parse,all_available
4344653,irmen/Pyrolite,irmen,Pyrolite,https://api.github.com/repos/irmen/Pyrolite,123,23,7,74,51,12,0,11,0,12,51,12,11,0,26,0,0,0,12,0,14,0,0,0,0
4353787,Pardot/Rhombus,Pardot,Rhombus,https://api.github.com/repos/Pardot/Rhombus,127,43,12,105,62,25,0,18,18,43,62,40,3,0,44,5,18,2,31,0,55,0,0,0,0
4371980,xautlx/nutch-htmlunit,xautlx,nutch-htmlunit,https://api.github.com/repos/xautlx/nutch-htmlunit,116,72,69,337,263,70,2,2,0,70,265,66,6,0,73,3,0,0,0,0,180,0,0,0,0
4375921,mapstruct/mapstruct-examples,mapstruct,mapstruct-examples,https://api.github.com/repos/mapstruct/mapstruct-examples,266,23,25,151,128,22,0,1,0,22,128,21,2,0,76,14,0,0,20,1,11,0,0,0,0
4380964,SpigotMC/Spigot-API,SpigotMC,Spigot-API,https://api.github.com/repos/SpigotMC/Spigot-API,148,47,45,738,690,46,1,1,0,46,691,41,6,0,78,10,4,4,39,0,496,0,0,0,0
4391700,bumptech/glide,bumptech,glide,https://api.github.com/repos/bumptech/glide,26675,233,70,649,388,162,27,72,0,187,390,182,77,0,214,26,0,0,188,0,208,0,0,0,0
4401815,opensourceBIM/BIMserver,opensourceBIM,BIMserver,https://api.github.com/repos/opensourceBIM/BIMserver,671,87,107,5640,5513,72,36,19,5,77,5549,59,32,0,0,0,0,0,61,0,4536,0,0,17,17
4409506,zycgit/hasor,zycgit,hasor,https://api.github.com/repos/zycgit/hasor,303,255,209,1556,1298,130,3,125,3,133,1301,84,171,0,113,102,27,4,94,0,598,0,0,13,13
4428033,apache/commons-imaging,apache,commons-imaging,https://api.github.com/repos/apache/commons-imaging,170,152,46,522,360,150,0,12,1,151,360,125,37,0,147,25,53,21,133,0,239,0,0,0,0
4431486,jan-molak/jenkins-build-monitor-plugin,jan-molak,jenkins-build-monitor-plugin,https://api.github.com/repos/jan-molak/jenkins-build-monitor-plugin,664,44,62,228,180,21,3,24,11,32,183,32,13,0,23,3,0,0,45,0,80,0,0,0,0
4466072,johncarl81/parceler,johncarl81,parceler,https://api.github.com/repos/johncarl81/parceler,3490,75,13,181,106,32,0,43,0,32,106,28,47,0,22,23,0,0,28,0,70,0,0,0,0
4469056,estatio/estatio,estatio,estatio,https://api.github.com/repos/estatio/estatio,180,832,659,2509,1674,661,3,171,1,662,1677,521,311,0,589,80,202,29,525,0,1453,0,0,0,0
4473737,alibaba/cobarclient,alibaba,cobarclient,https://api.github.com/repos/alibaba/cobarclient,598,26,23,81,55,16,0,10,0,16,55,14,12,0,14,6,8,1,0,16,16,0,0,0,0
4474517,tyrus-project/tyrus,tyrus-project,tyrus,https://api.github.com/repos/tyrus-project/tyrus,180,230,77,612,379,208,3,22,3,211,382,201,29,0,170,21,179,3,201,0,372,0,0,0,0
4523189,apache/commons-csv,apache,commons-csv,https://api.github.com/repos/apache/commons-csv,165,20,3,34,12,19,0,3,0,19,12,18,4,0,11,3,0,0,18,0,3,0,0,0,0
4550551,Thomas-S-B/visualee,Thomas-S-B,visualee,https://api.github.com/repos/Thomas-S-B/visualee,175,26,17,61,35,26,0,0,0,26,35,25,1,0,27,1,0,0,25,0,18,0,0,0,0
4555467,adamhub/screenbird,adamhub,screenbird,https://api.github.com/repos/adamhub/screenbird,111,47,44,268,220,44,1,3,0,44,221,43,4,0,0,0,0,0,46,0,101,0,0,0,0
4556295,tdunning/log-synth,tdunning,log-synth,https://api.github.com/repos/tdunning/log-synth,198,27,7,90,63,27,0,0,0,27,63,27,0,0,21,0,0,0,27,0,43,0,0,0,0
