Fullname,CalledClass,CalledMethod,isSpecific,ReturnType
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testForLoopOverObject,(Non_specific),getValues,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testForLoopOverObject,(Non_specific),is,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testForLoopOverArray,DocumentConverter,(constructor),True,DocumentConverter
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testForLoopOverArray,(Private),view,True,View
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testForLoopOverArray,DocumentConverter,convert,True,Collection<Document>
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testForLoopOverArray,(Private),doc,True,CouchDocument
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testForLoopOverArray,(Private),settings,True,ViewSettings
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testForLoopOverArray,(Non_specific),assertThat,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testForLoopOverArray,Collection<Document>,size,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testForLoopOverArray,(Non_specific),is,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testForLoopOverArray,(Non_specific),assertThat,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testForLoopOverArray,Collection<Document>,iterator,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testForLoopOverArray,(Non_specific),next,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testForLoopOverArray,(Non_specific),get,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testForLoopOverArray,(Non_specific),is,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testForLoopOverArray,(Non_specific),assertThat,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testForLoopOverArray,Collection<Document>,iterator,False,(Non_specific)
com.github.rnewson.couchdb.lucene.DocumentConverterTest.testForLoopOverArray,(Non_specific),next,False,(Non_specific)
