repo,description
wwadge/bonecp,BoneCP is a Java JDBC connection pool implementation that is tuned for high performance by minimizing lock contention to give greater throughput for your applications. It beats older connection pools such as C3P0 and DBCP but SHOULD NOW BE CONSIDERED DEPRECATED in favour of HikariCP.
appfuse/appfuse,AppFuse is a full-stack framework for building web applications on the JVM. Open source since 2003.
hector-client/hector,a high level client for cassandra
antlr/antlr3,antlr v3 repository (pulled from p4 with history from //depot/code/antlr/antlr3-main
marytts/marytts,MARY TTS -- an open-source - multilingual text-to-speech synthesis system written in pure java
qos-ch/logback,The reliable - generic - fast and flexible logging framework for Java.
lordofthejars/nosql-unit,NoSQL Unit is a JUnit extension that helps you write NoSQL unit tests.
liferay/liferay-faces,
Jasig/uPortal,Enterprise open source portal built by and for the higher education community.
wg/lettuce,Scalable Java Redis client
skyscreamer/yoga,Yoga is RESTful but flexible.
Sable/soot,Soot - A Java optimization framework
stoicflame/enunciate,Build-time enhancement tool for Java-based Web services projects
apache/shiro,Mirror of Apache Shiro
st-js/st-js,Main repository of Strongly-Typed Javascript - Java to Javascript transpiler
stripe/stripe-java,Java library for the Stripe API.    
groovy/groovy-core,former home of the groovy programming language - moved to https://github.com/apache/groovy
jnr/jnr-ffi,Java Abstracted Foreign Function Layer
dustin/java-memcached-client,A simple - asynchronous - single-threaded memcached client written in java.
xetorthio/johm,JOhm is a Object-hash mapping library for Java for storing objects in Redis
makersoft/mybatis-shards,基于MyBatis的数据库切分框架，可实现数据的水平切分和垂直切分。
rdelbru/SIREn,SIREn - Semi-Structured Information Retrieval Engine
killme2008/xmemcached,High performance - easy to use multithreaded memcached client in java. 
fozziethebeat/S-Space,The S-Space repsitory - from the AIrhead-Research group
structr/structr,The World's Most Advanced Graph Application Platform
hamcrest/JavaHamcrest,Java (and original) version of Hamcrest
demoiselle/framework,Repositório principal contendo o Core e Extensions: JPA - Security - WS
apache/zookeeper,Mirror of Apache Hadoop ZooKeeper
takawitter/trie4j,PATRICIA - Double Array - LOUDS Trie implementations for Java
SmartBear/soapui,SoapUI is a free and open source cross-platform functional testing solution for APIs and web services.
tomakehurst/wiremock,A tool for mocking HTTP services
lessthanoptimal/BoofCV,Fast computer vision library for SFM - calibration - fiducials - tracking -  image processing - and more.
mjiderhamn/classloader-leak-prevention,ClassLoader leak prevention / protection
hibernate/hibernate-tools,Code generation - reverse engineering - ant task and more tools for Hibernate Core
spullara/redis-protocol,Java client and server implementation of Redis
jnr/jnr-posix,Java Posix layer
jsevellec/cassandra-unit,Utility tool to load Data into Cassandra to help you writing good isolated JUnit Test into your application
jenkinsci/jira-plugin,Jenkins jira plugin
biojava/biojava,:book::microscope::coffee: BioJava is an open-source project dedicated to providing a Java library for processing biological data.
azkaban/azkaban,Azkaban workflow manager.
i2p/i2p.i2p,I2P is an anonymizing network - offering a simple layer that identity-sensitive applications can use to securely communicate. All data is wrapped with several layers of encryption - and the network is both distributed and dynamic - with no trusted parties. This is a mirror of the official Monotone repository.
mpatric/mp3agic,A java library for reading mp3 files and reading / manipulating the ID3 tags (ID3v1 and ID3v2.2 through ID3v2.4).
linkedin/sensei,distributed realtime searchable database
Aconex/scrutineer,Compares a source of truth sorted stream with another to find mismatches.  Designed for verifying indexes such as ElasticSearch & Solr are synchronized with their source of data (usually a DB) 
tinkerpop/frames,An Object to Graph Framework  (no longer active - see Apache TinkerPop)
kelemen/netbeans-gradle-project,This project is a NetBeans plugin able to open Gradle based Java projects. The implementation is based on Geertjan Wielenga's plugin.
FasterXML/jackson-dataformat-xml,Extension for Jackson JSON processor that adds support for serializing POJOs as XML (and deserializing from XML) as an alternative to JSON
arquillian/arquillian-examples,This repository hosts the example projects that are covered in the Arquillian Guides as well as several additional examples.
pgjdbc/pgjdbc,Postgresql JDBC Driver
GeoWebCache/geowebcache,GeoWebCache is a tile caching server implemented in Java that provides various tile caching services like WMS-C - TMS - WMTS - Google Maps - MS Bing and more
fabiomaffioletti/jsondoc,Easily generate docs and playground for your RESTful API
chewiebug/GCViewer,Fork of tagtraum industries' GCViewer. Tagtraum stopped development in 2008 - I aim to improve support for Sun's / Oracle's java 1.6+ garbage collector logs (including G1 collector)
julianhyde/optiq,Obsolete - superseded by Apache Calcite
smooks/smooks,Smooks Framework
neophob/PixelController,(LED) Matrix Control Software - supports various Hardware - Keywords: LED Matrix - OSC - Realtime - VJ - Arduino - Teensy - RPI
serso/android-calculatorpp,Android Calculator
jline/jline2,Jline 2.x
fakereplace/fakereplace,Hot replaces classes in the JVM 
zkoss/zk,ZK is a highly productive Java framework for building amazing enterprise web and mobile applications
