repo,description
Steveice10/MCProtocolLib,A library for communication with a Minecraft client/server.
tlaukkan/zigbee4java,Zigbee API for Java provides simple Java interface to ZigBee network.
eclipse/kura,Eclipse Kura™ project - http://eclipse.org/kura
awslabs/amazon-kinesis-client,Client library for Amazon Kinesis
zhangkaitao/spring4-showcase,（我的公众号：kaitao-1234567，我的新书：《亿级流量网站架构核心技术》） 
shopizer-ecommerce/shopizer,Shopizer java e-commerce software
googleads/googleads-java-lib,Google Ads APIs Client Library for Java (AdWords and DFP)
code4craft/hello-design-pattern,Hello world using all 23 kinds of GoF design patterns.
javers/javers,JaVers - object auditing and diff framework for Java
glowroot/glowroot,Easy to use - very low overhead - Java APM
smola/galimatias,galimatias is a URL parsing and normalization library written in Java.
wbaumann/SmartReceiptsLibrary,A customizable - easy-to-use receipt scanner for Android
Evolveum/midpoint,Evolveum MidPoint: Identity Management (IDM) and Identity Governance (IGA)
dbfit/dbfit,DbFit is a database testing framework that supports easy test-driven development of your database code.
addthis/hydra,
hcoles/pitest,State of the art mutation testing system for the JVM
jhunters/jprotobuf,A very useful utility library for java programmer using google protobuf
RuedigerMoeller/fast-serialization,FST: fast java serialization drop in-replacement 
code4craft/tiny-spring,A tiny IoC container refer to Spring.
imixs/imixs-workflow,The open source workflow technology for business applications
apache/helix,Mirror of Apache Helix
apache/struts,Mirror of Apache Struts
alibaba/cobar,a proxy for sharding databases and tables
CompEvol/beast2,Bayesian Evolutionary Analysis by Sampling Trees
opensciencemap/vtm,a vector-tile map library written in java - running on android - desktop and within the browser
protostuff/protostuff,Java serialization library - proto compiler - code generator
Wikidata/Wikidata-Toolkit,Java library to interact with Wikibase
google/jimfs,An in-memory file system for Java 7+
camelinaction/camelinaction,This project hosts the source code for the examples of the Camel in Action 1st ed book written by Claus Ibsen and Jonathan Anstey.
yammer/tenacity,Dropwizard + Hystrix Module.
opendaylight/controller,Mirror of the OpenDaylight controller gerrit project
spring-projects/spring-data-examples,Spring Data Example Projects
jcabi/jcabi-http,Fluent Java HTTP client
lukas-krecan/future-converter,Converts between various future types
jbake-org/jbake,Java based open source static site/blog generator for developers & designers.
larsga/Duke,Duke is a fast and flexible deduplication engine written in Java
mucommander/mucommander,A lightweight - cross-platform file manager with a dual-pane interface
igniterealtime/Smack,A modular and portable open source XMPP client library written in Java for Android and Java (SE) VMs
TomasMikula/ReactFX,Reactive event streams - observable values and more for JavaFX.
la-team/light-admin,[PoC] Pluggable CRUD UI library for Java web applications
forge/roaster,A Java Parser library that allows easy parsing and formatting of Java source files
ragnor/simple-spring-memcached,A drop-in library to enable memcached caching in Spring beans via annotations
hyperic/hq,Hyperic open source
davidmoten/rxjava-jdbc,Efficient execution and functional composition of database calls using jdbc and RxJava Observables
ferstl/depgraph-maven-plugin,A Maven plugin that generates dependency graphs in various formats (DOT - GML - PlantUML - JSON and Text)
aerospike/aerospike-client-java,Aerospike Java Client Library
resty-gwt/resty-gwt,Like GWT-RPC but with REST/JSON coolness
mayconbordin/streaminer,A collection of algorithms for mining data streams
vladmihalcea/flexy-pool,FlexyPool adds metrics and failover strategies to a given Connection Pool - allowing it to resize on demand.
datacleaner/DataCleaner,The premier open source Data Quality solution
jpmml/jpmml-model,Java Class Model API for PMML
jpmml/jpmml-evaluator,Java Evaluator API for PMML
lessthanoptimal/ejml,A fast and easy to use linear algebra library written in Java for dense - sparse - real - and complex matrices.
gocd/gocd,Main repository for GoCD - Continuous Delivery server
MirakelX/mirakel-android,Easy task management for professionals
my2iu/Jinq,LINQ-style queries for Java 8
rhq-project/rhq,RHQ system management and monitoring framework
MichaelTamm/junit-toolbox,Useful classes for writing automated tests with JUnit 4
cloudera/cm_ext,Cloudera Manager Extensibility Tools and Documentation.
Hive2Hive/Hive2Hive,Java library for secure - distributed - P2P-based file synchronization and sharing.
optimaize/language-detector,Language Detection Library for Java
jOOQ/jOOL,jOOλ - The Missing Parts in Java 8 jOOλ improves the JDK libraries in areas where the Expert Group's focus was elsewhere. It adds tuple support - function support - and a lot of additional functionality around sequential Streams. The JDK 8's main efforts (default methods - lambdas - and the Stream API) were focused around maintaining backwards compatibility and implementing a functional API for parallelism.
citiususc/hipster,Hipster4j is a lightweight and powerful heuristic search library for Java and Android. It contains common - fully customizable algorithms such as Dijkstra - A* (A-Star) - DFS - BFS - Bellman-Ford and more.
apache/curator,Apache Curator
osmdroid/osmdroid,OpenStreetMap-Tools for Android
HPI-Information-Systems/Metanome,The source repository of the Metanome tool
Erudika/para,Open source back-end server for web - mobile and IoT. The backend for busy developers. (self-hosted or hosted)
TouK/sputnik,Static code review for your Gerrit patchsets. Runs Checkstyle - PMD - FindBugs - Scalastyle - CodeNarc - JSLint for you!
unitsofmeasurement/unit-api,Units of Measurement API
RichardWarburton/java-8-lambdas-exercises,Exercises and Answers for Java 8 Lambdas book
CodeStory/fluent-http,This is the simplest fastest full fledged web server we could come up with.
apache/tajo,Mirror of Apache Tajo
tkaczmarzyk/specification-arg-resolver,An alternative API for filtering data with Spring MVC & Spring Data JPA
javamelody/javamelody,JavaMelody : monitoring of JavaEE applications
omnifaces/omnifaces,To make JSF life easier
stagemonitor/stagemonitor,an open source solution to application performance monitoring for java server applications
spring-io/sagan,The spring.io site and reference application
HiddenStage/divide,
GluuFederation/oxAuth,OAuth 2.0 server and client; OpenID Connect Provider (OP) & UMA Authorization Server (AS)
NLPchina/nlp-lang,这个项目是一个基本包.封装了大多数nlp项目中常用工具
xipki/xipki,Highly scalable and high-performance open source PKI (CA and OCSP responder)
javadev/underscore-java,java port of Underscore.js
ConSol/sakuli,Sakuli is an end-2-end testing and monitoring tool for web sites and common UIs with multiple monitoring integrations
nenick/android-gradle-template,Combines tools for fast android app devlopment
vt-middleware/passay,Password policy enforcement for Java.
devnied/EMV-NFC-Paycard-Enrollment,A Java library used to read and extract data from NFC EMV credit cards (Android/PCSC).
open-keychain/open-keychain,OpenKeychain is an OpenPGP implementation for Android.
igniterealtime/Openfire,A XMPP server licensed under the Open Source Apache License.
OpenNMS/newts,New-fangled Timeseries Data Store
rapidoid/rapidoid,Rapidoid - Extremely Fast - Simple and Powerful Java Web Framework and HTTP Server!
TNG/JGiven,Behavior-Driven Development in plain Java
codecentric/spring-boot-starter-batch-web,
douglascraigschmidt/POSA-14,This repository contains assignments and examples for the 2014 offering of the POSA MOOC (see www.coursera.org/course/posa for more information)
pinterest/secor,Secor is a service implementing Kafka log persistence
glazedlists/glazedlists,Open Source List Transformations for Java
TestFX/TestFX,Simple and clean testing for JavaFX.
XiaoMi/themis,Themis provides cross-row/cross-table transaction on HBase based on google's percolator.
dcevm/dcevm,Dynamic Code Evolution VM for Java 7/8
caelum/mamute,Q&A Engine
IQSS/dataverse,Open source research data repository software
cglib/cglib,cglib - Byte Code Generation Library is high level API to generate and transform Java byte code. It is used by AOP - testing - data access frameworks to generate dynamic proxy objects and intercept field access.
thelinmichael/spotify-web-api-java,A Java wrapper for Spotify's Web API.
syncany/syncany,Syncany is a cloud storage and filesharing application with a focus on security and abstraction of storage.
querydsl/querydsl,Unified Queries for Java
ShifuML/shifu,An end-to-end machine learning and data mining framework on Hadoop
hibernate/hibernate-demos,Repository for demos of various Hibernate projects
samtools/htsjdk,A Java API for high-throughput sequencing data (HTS) formats.
teamed/qulice,Quality Police for Java projects
terrymanu/miracle-framework,practice to agile development - modularization project - integrate and optimize with thrid party libraries.
broadinstitute/picard,A set of command line tools (in Java) for manipulating high-throughput sequencing (HTS) data and formats such as SAM/BAM/CRAM and VCF.
jindrapetrik/jpexs-decompiler,JPEXS Free Flash Decompiler
perwendel/spark-template-engines,Repository for different Template engine implementations. 
graphaware/neo4j-timetree,Java and REST APIs for working with time-representing tree in Neo4j
fcrepo4/fcrepo4,Fedora 4
foxinmy/weixin4j,(微信开发工具包)weixin sdk for Java
quickfix-j/quickfixj,QuickFIX/J is a full featured messaging engine for the FIX protocol. - This is the official project repository.
GoogleCloudPlatform/bigdata-interop,Libraries and tools for interoperability between Hadoop-related open-source software and Google Cloud Platform.
PeteGoo/tcSlackBuildNotifier,Posts build notifications to Slack
apache/incubator-brooklyn,Mirror of Apache Brooklyn
JCTools/JCTools,
knightliao/disconf,Distributed Configuration Management Platform(分布式配置管理平台)
TannerPerrien/picasso-transformations,A transformation library for Picasso
docker-java/docker-java,Java Docker API Client
snakerflow/snakerflow,简单、轻巧、灵活的工作流引擎
xtreemfs/xtreemfs,Distributed Fault-Tolerant File System
apache/phoenix,Mirror of Apache Phoenix
spotify/docker-client,INACTIVE: A simple docker client for the JVM
Tillerino/Tillerinobot,
spotify/helios,Docker container orchestration platform
vladmihalcea/hibernate-master-class,Hibernate Master Class is an advance course of one of the most popular JPA implementation
netplex/json-smart-v2,
eclipse/californium,CoAP/DTLS Java Implementation 
GraphWalker/graphwalker-project,This is the repo for the Model-based testing tool GraphWalker.
pagehelper/Mybatis-PageHelper,Mybatis通用分页插件
att/XACML,AT&T XACML 3.0 Implementation
structurizr/java,Structurizr for Java
wso2/product-apim,Welcome to the WSO2 API Manager source code! For info on working with the WSO2 API Manager repository and contributing code - click the link below.
lumifyio/lumify,open source big data integration - analytics - and visualization
hazelcast/hazelcast-code-samples,Hazelcast Code Samples
PanicInitiative/PanicButton,Panic Button turns your mobile phone into a secret alarm for when you're in trouble
google/truth,Fluent assertions for Java and Android
spring-projects/spring-session,Spring Session
jMetal/jMetal,jMetal: a framework for multi-objective optimization with metaheuristics
ethereum/ethereumj,DEPRECATED! Java implementation of the Ethereum yellowpaper. For JSON-RPC and other client features check Ethereum Harmony
jamesagnew/hapi-fhir,🔥 HAPI FHIR - Java API for HL7 FHIR Clients and Servers
naver/ngrinder,enterprise level performance testing solution
coinbase/coinbase-java,Coinbase API v1 library for Java
yinlou/mltk,Machine Learning Tool Kit
v5developer/maven-framework-project,a maven and spring repository
naver/volley-extensions,Volley Extensions v2.0.0. ( Volleyer - Volley requests - Volley caches - Volley custom views )
moneymanagerex/android-money-manager-ex,Android version of Money Manager Ex
forcedotcom/idecore,The core plug-ins for the Force.com IDE
oyachai/HearthSim,Generic Hearthstone game simulator
wildfly/wildfly-core,The core runtime that is used by the WildFly application server
dashbuilder/dashbuilder,Dashboard composition tooling based on the Uberfire framework
kairosdb/kairosdb,Fast scalable time series database
wendykierp/JTransforms,JTransforms is the first - open source - multithreaded FFT library written in pure Java.
kennycason/kumo,Kumo - Java Word Cloud 
jenkinsci/gitlab-plugin,A Jenkins plugin for interfacing with GitLab
yigit/android-priority-jobqueue,A Job Queue specifically written for Android to easily schedule jobs (tasks) that run in the background - improving UX and application stability.
google/guice,Guice (pronounced 'juice') is a lightweight dependency injection framework for Java 6 and above - brought to you by Google.
lenskit/lenskit,LensKit recommender toolkit.
documents4j/documents4j,documents4j is a Java library for converting documents into another document format
jmockit/jmockit1,Advanced Java library for integration testing - mocking - faking - and code coverage
AzureAD/azure-activedirectory-library-for-android,The ADAL SDK for Android gives you the ability to add support for Work Accounts to your application with just a few lines of additional code. This SDK gives your application the full functionality of Microsoft Azure AD - including industry standard protocol support for OAuth2 - Web API integration with user level consent - and two factor authentication support.
uniVocity/univocity-parsers,uniVocity-parsers is a suite of extremely fast and reliable parsers for Java. It provides a consistent interface for handling different file formats - and a solid framework for the development of new parsers.
sutra/okcoin-client,OKCoin API Wrapper in Java.
KylinOLAP/Kylin,This code base is retained for historical interest only - please visit Apache Incubator Repo for latest one
sequenceiq/cloudbreak,Cloudbreak is a cloud agnostic Hadoop as a Service API. (Please use https://github.com/hortonworks/cloudbreak)
OpenHFT/Chronicle-Map,Replicate your Key Value Store across your network - with consistency - persistance and performance.
juleswhite/mobilecloud-14,Source code and assignments for the Programming Cloud Services for Android Handheld Systems Course
ftomassetti/effectivejava,Run queries on your Java code to check if it meets the criteria suggested by the book Effective Java. And some others.
MyCATApache/Mycat-Server,
OryxProject/oryx,Oryx 2: Lambda architecture on Apache Spark - Apache Kafka for real-time large scale machine learning
techdev-solutions/trackr-backend,
OpenHFT/Chronicle-Logger,A sub microsecond java logger - supporting standard logging APIs such as Slf & Log4J
pietermartin/sqlg,tinkerpop3 graph over sql
serso/android-checkout,Library for Android In-App Billing (Version 3+)
AltBeacon/android-beacon-library,Allows Android apps to interact with BLE beacons
openmrs/openmrs-contrib-android-client,Android client for OpenMRS
codecentric/spring-boot-admin,Admin UI for administration of spring boot applications
wso2/product-is,Welcome to the WSO2 Identity Server source code! For info on working with the WSO2 Identity Server repository and contributing code - click the link below.
Baqend/Orestes-Bloomfilter,Library of different Bloom filters in Java with optional Redis-backing - counting and many hashing options.
FasterXML/woodstox,The gold standard Stax XML API implementation. Now at Github.
mini2Dx/mini2Dx,A high-level cross-platform 2D game development API
jfaster/mango,Distributed ORM Framework for Java
ehcache/ehcache3,Ehcache 3.x line 
xerial/sqlite-jdbc,SQLite JDBC Driver
jmrozanec/cron-utils,Cron utils for parsing - validations and human readable descriptions as well as date/time interoperability.
Kurento/kurento-java,API Java SDK for Kurento Media Server
iluwatar/java-design-patterns,Design patterns implemented in Java
sanity/quickml,A fast and easy to use decision tree learner in java
bozaro/git-as-svn,Subversion frontend server for git repository (java)
cflint/CFLint,Static code analysis for CFML (a linter)
nkcoder/quartz-explained,对定时任务调度框架quartz源码的阅读和注释(comments on quartz-core source)
locationtech/geogig,GeoGig project
OpenRock/OpenAM,Mirror of https://stash.forgerock.org/projects/OPENAM/openam
poetix/protonpack,Stream utilities for Java 8
android10/Android-CleanArchitecture,This is a sample app that is part of a series of blog posts I have written about how to architect an android application using Uncle Bob's clean architecture approach.
CalebFenton/simplify,Android virtual machine and deobfuscator
simplenlg/simplenlg,Java API for Natural Language Generation. Originally developed by Ehud Reiter at the University of Aberdeen’s Department of Computing Science and co-founder of Arria NLG. This git repo is the official SimpleNLG version.
google/error-prone,Catch common Java mistakes as compile-time errors
chanjarster/weixin-java-tools,微信公众号、企业号Java SDK
numenta/htm.java,Hierarchical Temporal Memory implementation in Java - an official Community-Driven Java port of the Numenta Platform for Intelligent Computing (NuPIC).
virgo47/javasimon,Java Simon is a simple monitoring API that allows you to follow and better understand your application.
apache/storm,Mirror of Apache Storm
OfficeDev/ews-java-api,A java client library to access Exchange web services.  The API works against Office 365 Exchange Online as well as on premises Exchange.
googlemaps/google-maps-services-java,Java client library for Google Maps API Web Services
davidmoten/rtree,Immutable in-memory R-tree and R*-tree implementations in Java with reactive api
zafarkhaja/jsemver,Java implementation of the SemVer Specification
spring-cloud/spring-cloud-connectors,Library to let cloud applications connect to services
spring-cloud/spring-cloud-netflix,Integration with Netflix OSS components
spring-projects/spring-sync,Enables efficient communication and data synchronization between clients and Spring server applications.
OpenHFT/Chronicle-Queue,Micro second messaging that stores everything to disk
payara/Payara,Payara Server is an open source middleware platform that supports reliable and secure deployments of Java EE (Jakarta EE) and MicroProfile applications in any environment: on premise - in the cloud or hybrid. 
spring-cloud/spring-cloud-config,External configuration (server and client) for Spring Cloud
square/burst,A unit testing library for varying test data.
highsource/maven-jaxb2-plugin,The most advanced JAXB2 Maven Plugin for XML Schema compilation.
abel533/ECharts,这是一个针对ECharts2.x版本的Java类库，实现了所有ECharts中的Json结构对应的Java对象，并且可以很方便的创建Option -Series等
jordw/heftydb,High performance persistent LSM key-value store library for the JVM.
realm/realm-java,Realm is a mobile database: a replacement for SQLite & ORMs
feroult/yawp,Kotlin/Java API framework for Google Appengine
OpenSOC/opensoc-streaming,Extensible set of Storm topologies and topology attributes for streaming - enriching - indexing - and storing telemetry in Hadoop.
boonproject/boon,Simple opinionated Java for the novice to expert level Java Programmer.  Low Ceremony. High Productivity.
octo-online/reactive-audit,Audit tool aims to provide help to the use of Reactive architecture in project implementations.
lcm-proj/lcm,Lightweight Communications and Marshalling
linkedin/Cubert,Fast and efficient batch computation engine for complex analysis and reporting of massive datasets on Hadoop
Pragmatists/tdd-trainings,
greenmail-mail-test/greenmail,Official master for the Greenmail project
r17171709/android_demo,自己学习的androiddemo合集
usc-isi-i2/Web-Karma,Information Integration Tool
statefulj/statefulj,A Finite State Machine Implementation along with an integrated Spring Based Framework
PingPlusPlus/pingpp-java,
knightliao/common-utils,useful - powerful - widely Java Utils Library
Stratio/deep-spark,Connecting Apache Spark with different data stores [DEPRECATED]
NLPchina/ansj_seg,ansj分词.ict的真正java实现.分词效果速度都超过开源版的ict. 中文分词 -人名识别 -词性标注 -用户自定义词典
facebookarchive/hadoop-20,Facebook's Realtime Distributed FS based on Apache Hadoop 0.20-append
HubSpot/jinjava,Jinja template engine for Java
immutables/immutables,Annotation processor to create immutable objects and builders. Feels like Guava's immutable collections but for regular value objects. JSON - Jackson - Gson - JAX-RS integrations included
axelor/axelor-business-suite,The Axelor Open Suite based on Axelor Open Platform
INDExOS/media-for-mobile,Media for Mobile
Yubico/java-u2flib-server,(DEPRECATED) Java server-side library for U2F
imglib/imglib2,A generic next-generation Java library for image processing
subchen/jetbrick-template-2x,Template Engine for Java
datumbox/datumbox-framework,Datumbox is an open-source Machine Learning framework written in Java which allows the rapid development of Machine Learning and Statistical applications.
ESAPI/esapi-java-legacy,ESAPI (The OWASP Enterprise Security API) is a free - open source - web application security control library that makes it easier for programmers to write lower-risk applications.
schema-repo/schema-repo,The Schema Repo is a RESTful web service for storing and serving mappings between schema identifiers and schema definitions.
swagger-api/swagger-codegen,swagger-codegen contains a template-driven engine to generate documentation - API clients and server stubs in different languages by parsing your OpenAPI / Swagger definition.
twitter/elephant-bird,Twitter's collection of LZO and Protocol Buffer-related Hadoop - Pig - Hive - and HBase code.
shazam/fork,A library that offers the fastest way to execute Android instrumentation tests.
indeedeng/imhotep,Imhotep is a large-scale analytics platform built by Indeed.
simpligility/android-maven-plugin,Maven Plugin for Android Application development and more
arquillian/arquillian-cube,Control (docker - kubernetes - openshift) containers in your tests with ease!
paypal/PayPal-Java-SDK,Java SDK for PayPal RESTful APIs
spring-cloud/spring-cloud-aws,Integration for Amazon Web Services APIs with Spring
Netflix/dyno,Java client for Dynomite
arangodb/arangodb-java-driver,ArangoDB Java driver
making/hajiboot-samples,書籍「はじめてのSpring Boot」のサポートページ
wix/petri,Wix experiment system (A/B test and feature toggle framework)
vojtechhabarta/typescript-generator,Generates TypeScript from Java - JSON declarations - REST service client
mapsforge/mapsforge,Vector map library and writer - running on Android and Desktop.
serenity-bdd/serenity-core,Serenity BDD is a test automation library designed to make writing automated acceptance tests easier - and more fun.
GumTreeDiff/gumtree,A neat code differencing tool
real-logic/Aeron,Efficient reliable UDP unicast - UDP multicast - and IPC message transport
real-logic/Agrona,High Performance data structures and utility methods for Java
passy/scdl,Soundcloud Downloader App for Android
pedrovgs/Algorithms,Solutions for some common algorithm problems written in Java.
Netflix/Raigad,Co-Process for backup/recovery - Auto Deployments and Centralized Configuration management for ElasticSearch
spring-projects/spring-integration-java-dsl,
lmco/streamflow,StreamFlow™ is a stream processing tool designed to help build and monitor processing workflows.
58code/Oceanus,58同城数据库中间件
pac4j/pac4j,Security engine for Java (authentication - authorization - multi frameworks): OAuth - CAS - SAML - OpenID Connect - LDAP - JWT...
iSoron/uhabits,Loop Habit Tracker - a mobile app for creating and maintaining long-term positive habits
divolte/divolte-collector,Divolte Collector
greghaskins/spectrum,A BDD-style test runner for Java 8. Inspired by Jasmine - RSpec - and Cucumber.
eclipsesource/J2V8,Java Bindings for V8
SoftInstigate/restheart,RESTHeart - REST API Microservice for MongoDB 
haifengl/smile,Statistical Machine Intelligence & Learning Engine
apache/commons-text,Mirror of Apache Commons Text
stephanenicolas/reflection-no-reflection,A proof on concept to create an API that is 100% compatible reflection API - but without any reflection. Performance stuff for Android and Java.
spring-projects/spring-integration-aws,
ngageoint/mrgeo,MrGeo is a geospatial toolkit designed to provide raster-based geospatial capabilities that can be performed at scale. MrGeo is built upon Apache Spark and the Hadoop ecosystem to leverage the storage and processing of hundreds of commodity computers.  See the wiki for more details.
abel533/Mapper,Mybatis Common Mapper - Easy to use
acciente/oacc-core,OACC (Object ACcess Control) is an advanced Java Application Security Framework
Syncleus/Ferma,An ORM / OGM for the TinkerPop graph stack.
vogellacompany/codeexamples-android,Android examples from the vogella.com website
JetBrains/xodus,JetBrains Xodus is a transactional schema-less embedded database used by JetBrains YouTrack and JetBrains Hub.
javaee-samples/javaee8-samples,Java EE 8 Samples
spring-cloud/spring-cloud-consul,Spring Cloud Consul
xmlunit/xmlunit,XMLUnit for Java 2.x
spring-cloud/spring-cloud-commons,Common classes used in different Spring Cloud implementations
ben-manes/caffeine,A high performance caching library for Java 8
Ellzord/JALSE,Java Artificial Life Simulation Engine
snazy/ohc,Java large off heap cache
cternes/openkeepass,A java library for reading and writing KeePass databases. It is an intuitive java library that supports KeePass 2.x database files.
super-csv/super-csv,A fast - programmer-friendly - free CSV library for Java
thyrlian/AwesomeValidation,Android validation library which helps developer boil down the tedious work to three easy steps.
davidmoten/rxjava-extras,Utilities for use with rxjava 
Netflix/spectator,Client library for collecting metrics.
neo4j/neo4j-ogm,Java Object-Graph Mapping Library for Neo4j
henryyan/activiti-in-action-codes,Activiti官方唯一推荐中文书籍——《Activiti实战》示例源码
npgall/cqengine,Ultra-fast SQL-like queries on Java collections
sakaiproject/sakai,Sakai is a freely available - feature-rich technology solution for learning - teaching - research and collaboration. Sakai is an open source software suite developed by a diverse and global adopter community.
digitalfondue/lavagna,Lavagna: issue tracker/project management tool
support-project/knowledge,Free Knowledge Management System
jdbi/jdbi,jdbi is designed to provide convenient tabular data access in Java; including templated SQL - parameterized and strongly typed queries - and Streams integration
cer/event-sourcing-examples,Example code for my building and deploying microservices with event sourcing - CQRS and Docker presentation
aNNiMON/Lightweight-Stream-API,Stream API from Java 8 rewritten on iterators for Java 7 and below
gisgraphy/gisgraphy,geocoding and geolocalisation webservices for Geonames - Openstreetmap - and quattroshapes data
termd/termd,An open source terminal daemon library providing terminal handling in Java under ASL 2.0
mslosarz/nextrtc-signaling-server,NextRTC is simple WebRTC signaling server written in java. It provides signal exchange and easy to integrate API
sakserv/hadoop-mini-clusters,hadoop-mini-clusters provides an easy way to test Hadoop projects directly in your IDE
Freeyourgadget/Gadgetbridge,We are on codeberg.org now! https://codeberg.org/Freeyourgadget/Gadgetbridge -  Gadgetbridge - A free and cloudless replacement for your gadget vendors' closed source Android applications. Supports Pebble - Mi Band - Liveview - HPlus and more.
leonbloy/pngj,PNGJ : pure Java library for high performance PNG encoding
yegor256/takes,True Object-Oriented Java Web Framework
CorfuDB/CorfuDB,A cluster consistency platform
naver/pinpoint,APM - (Application Performance Management) tool for large-scale distributed systems written in Java. 
viritin/viritin,The "commons" library for Vaadin developers
javaparser/javaparser, Java 1-13 Parser and Abstract Syntax Tree for Java –
FreeTymeKiyan/LeetCode-Sol-Res,Clean - Understandable Solutions and Resources for LeetCode Online Judge Algorithm Problems. 
square/javapoet,A Java API for generating .java source files.
edx/edx-app-android,The Open EdX mobile app for Android!
OpenHFT/Chronicle-Network,A High Performance Network ( TCP/IP ) Library
etsy/statsd-jvm-profiler,Simple JVM Profiler Using StatsD and Other Metrics Backends
lucidworks/spark-solr,Tools for reading data from Solr as a Spark RDD and indexing objects from Spark into Solr using SolrJ.
OpenHFT/Chronicle-Wire,A Java Serialisation Library that supports multiple formats
inspectIT/inspectIT,inspectIT is the leading Open Source APM (Application Performance Management) tool for analyzing your Java (EE) applications.
greenaddress/GreenBits,GreenBits is a Bitcoin Wallet for Android provided by GreenAddress
hidroh/materialistic,A material-design Hacker News Android reader
embulk/embulk,Embulk: Pluggable Bulk Data Loader.
apache/incubator-samoa,Mirror of Apache Samoa (Incubating)
ctripcorp/hermes,Message Queue Solution at Ctrip.com
spring-cloud/spring-cloud-zookeeper,Spring Cloud Zookeeper
tuguangquan/mybatis,mybatis源码中文注释
MariaDB/mariadb-connector-j,MariaDB Connector/J is used to connect applications developed in Java to MariaDB and MySQL databases. MariaDB Connector/J is LGPL licensed.
fpinjava/fpinjava,Code - exercises and solutions from the book "Functional Programming in Java"
citerus/dddsample-core,This is the new home of the original DDD Sample app (previously hosted at sf.net).. 
Netflix/Nicobar,
vaadin/spring,Spring integration for Vaadin
spring-projects/spring-statemachine,Spring Statemachine is a framework for application developers to use state machine concepts with Spring.
cardillo/joinery,Data frames for Java
hawkular/hawkular-metrics,Time Series Metrics Engine based on Cassandra
zhengxiaopeng/Rocko-Android-Demos,Rocko Android demos - 
eclipse/leshan,Eclipse Leshan is an OMA Lightweight M2M (LWM2M) implementation in Java.
zendesk/maxwell,Maxwell's daemon - a mysql-to-json kafka producer
SeldonIO/seldon-server,Machine Learning Platform and Recommendation Engine built on Kubernetes
deeplearning4j/nd4j,Fast - Scientific and Numerical Computing for the JVM (NDArrays)
enonic/xp,Enonic XP
jflex-de/jflex,The fast scanner generator for Java with full Unicode support
restfb/restfb,RestFB is a simple and flexible Facebook Graph API client written in Java.
spring-projects/spring-restdocs,Test-driven documentation for RESTful services
eseifert/gral,Free Java library for displaying plots
bluelinelabs/LoganSquare,Screaming fast JSON parsing and serialization library for Android.
OAuth-Apis/apis,OAuth Authorization as a Service
google/mr4c,
sockeqwe/mosby,A Model-View-Presenter / Model-View-Intent library for modern Android apps
pulsarIO/jetstream,Jetstream is a streaming processing framework
OpenHFT/Chronicle-Core,Low level access to native memory - JVM and OS.
OpenHFT/Chronicle-Bytes,Chronicle Bytes has a similar purpose to Java NIO's ByteBuffer with many extensions
reactive-streams/reactive-streams-jvm,Reactive Streams Specification for the JVM
testwhat/SmaliEx,A wrapper to get de-optimized dex from odex/oat/vdex.
aol/micro-server,Microserver is a Java 8 native - zero configuration - standards based - battle hardened library to run Java Rest Microservices via a standard Java main class. Supporting pure Microservice or Micro-monolith styles.
mono/sharpen,Sharpen is an Eclipse plugin created by db4o that allows you to convert your Java project into c#
openimaj/openimaj,The OpenIMAJ source code repository
confluentinc/kafka-rest,Confluent REST Proxy for Kafka
confluentinc/schema-registry,Confluent Schema Registry for Kafka
grpc/grpc-java,The Java gRPC implementation. HTTP/2 based RPC
stevensouza/automon,Automon combines the power of AOP (AspectJ) with monitoring or logging tools you already use to declaratively monitor your Java code - the JDK - and 3rd party libraries.
vbauer/caesar,Library that allows to create async beans from sync beans
sdaschner/jaxrs-analyzer,Creates REST documentation for JAX-RS projects
eclipse/vorto,Vorto Project
kaazing/gateway,Kaazing Gateway
elki-project/elki,ELKI Data Mining Toolkit 
MewX/light-novel-library_Wenku8_Android,[BEING MAINTAINED SLOWLY] 轻小说文库 (Wenku8.com) 安卓版第三方公益App，始于2014年的Material Design风格、无广告、不盈利的轻小说阅读器(light novel reader)。
offbynull/coroutines,Java toolkit that allows you to write coroutines.
elastic/elasticsearch-hadoop, :elephant: Elasticsearch real-time search and analytics natively integrated with Hadoop
ben-manes/concurrentlinkedhashmap,A ConcurrentLinkedHashMap for Java
iDevicesInc/SweetBlue,BLE on Android - the easy way. THIS IS NOW DEPRECATED. Please visit website for info on new versions.
raydac/java-binary-block-parser,The Most comfortable way to work with binary data in Java
effektif/effektif,Discontinued
pushtorefresh/storio,Reactive API for SQLiteDatabase and ContentResolver.
semanticvectors/semanticvectors,SemanticVectors creates semantic WordSpace models from free natural language text.
Ekryd/sortpom,Maven plugin that helps the user sort pom.xml. 
bonigarcia/webdrivermanager,Automatic management of Selenium WebDriver binaries
trade-manager/trade-manager,Trade Manager automates technical trading of candle stick charts with an interface to Interactive Brokers Trader Workstation (IB TWS) & Yahoo Finanace
otros-systems/otroslogviewer,Log viewer focused on developers work
svendiedrichsen/jollyday,Jollyday - A holiday API
fizzed/rocker,Java 8 optimized - memory efficient - speedy template engine producing statically typed - plain java objects
pxb1988/dex2jar,Tools to work with android .dex and java .class files
Cloudslab/cloudsim,CloudSim: A Framework For Modeling And Simulation Of Cloud Computing Infrastructures And Services
